훈동물병원,041-934-0279,충남 보령시 동현로 12,36.3515693,126.6088542,-
서산동물병원,041-667-5525,충남 서산시 안견로 235,36.7778902,126.457463,-
메이동물메디컬센터,063-285-7975,전북 전주시 완산구 백제대로 218 1층,35.8123338,127.1236246,-
아리랑24시동물의료센터,063-228-5311,전북 전주시 완산구 서원로 294,35.8115751,127.1264989,매일 00:00 ~ 24:00
군산24시제일동물병원,063-461-5079,전북 군산시 진포로 73,35.9749456,126.7330588,-
코끼리동물병원,063-245-7975,전북 전주시 완산구 중화산로 100,35.8192217,127.1183412,-
서신동물병원,063-253-2747,전북 전주시 완산구 서신로 33,35.8283489,127.1156017,-
코끼리동물병원,063-902-7975,전북 전주시 완산구 모악로 4769 1층,35.7950403,127.1321793,-
박영재동물병원,063-284-7774,전북 전주시 완산구 전주천서로 111,35.8099993,127.1492005,-
올리몰스동물메디컬센터,063-275-7979,"전북 전주시 덕진구 송천중앙로 213 2,3층 ",35.8641292,127.1221127,월~금 09:00 ~ 22:00
산책동물병원 전문서점,-,전북 전주시 덕진구 건산로 290,35.8358714,127.1687838,-
대학동물병원,063-858-0711,전북 익산시 인북로 139,35.941482,126.9540485,-
웰동물병원,063-227-8275,전북 전주시 완산구 서원로 72,35.8133015,127.1224769,-
이노동물병원,063-277-0007,전북 완주군 이서면 안전로 153 타워숲 1층,35.8206231,127.0225475,-
하나 동물병원,063-253-5677,전북 전주시 덕진구 송천중앙로 17,35.8488059,127.1185551,-
행복한동물병원,063-244-0110,전북 전주시 덕진구 건산로 243,35.8347883,127.1636272,-
우리동물병원,063-226-3333,전북 전주시 완산구 용머리로 86,35.8061437,127.1194395,-
현대동물병원,033-256-7582,강원 춘천시 춘천로 267,37.8799992,127.7429144,월~토 09:00 ~ 19:00
24시보듬동물병원,033-655-7975,강원 강릉시 경강로 2070,37.753189,128.8939975,매일 09:00 ~ 21:00
누리종합동물병원,033-761-0167,강원 원주시 서원대로 408 광장빌딩 1층,37.3300715,127.9500828,-
목포동물병원,061-273-7582,전남 목포시 용당로 223,34.8067875,126.3982499,월~토 12:30 ~ 13:30
한빛동물병원,061-283-0139,전남 목포시 부흥로 49,34.8021949,126.4269144,
한사랑동물의료센터,061-284-8270,전남 목포시 통일대로 83,34.8009857,126.4330983,
펫119동물병원,061-284-6994,전남 목포시 옥암로 129,34.8100428,126.4244462,
서울동물병원,061-279-1175,전남 목포시 원산중앙로 10,34.8070727,126.3743554,
